username,date,review_text,rating,source
rklls,,"“pasensya na po, tao lang”“wow, sure ka?”",200.0,ltbx
pilinipas,,my first ever vice ganda film,200.0,ltbx
xkxmxllx,,mulan but pinoy,140.0,ltbx
rmfiim,,CUTE NI BIMBYYYY,140.0,ltbx
deesyembre,,"Encapsulates the humor of Filipino comedy in the early 2010s! I understand why it's considered a Filipino classic and truly one of Vice Ganda's best films. Also gotta appreciate Vandolph's comedic timing, so good!!!",120.0,ltbx
dainielle,,"""kakalaki mong tao ang laki ng dede mo"" welcome back cinema",200.0,ltbx
traceless,,Mulan pero maaraw,120.0,ltbx
selthereader,,i completely understand why this is vice ganda's fave movie of his,,ltbx
vanillapie,,Wenn Deramas was so ahead of his time,140.0,ltbx
seungseungz,,mulan para sa mga bading,80.0,ltbx
p1chipichi,,laki niyan ah 😏,,ltbx
cuencafaith,,welcome home papsi !!!!!,,ltbx
kalamondin,,parehong bahay sa Breadwinner (I think??) omg Vice Ganda cinematic universe,,ltbx
katmmercado,,hilda colonel 🫡🫡🫡,120.0,ltbx
erinexxn,,still the best vice ganda movie to date,,ltbx
punanicega,,"ni-rewatch ko lang 'to dahil may comedy yung genre namin for film scoring. napansin ko lang para maging funny yung score, gumamit ng nakukulit na timbre ng intruments. pag nagbitaw ng joke kailangan may fluttering ng flute. yung bass naka oompa loompa parang johnny cash lang. yung mga meme sound ng brass instruments, ayos din iyun i-apply parang slapstick lang, Mickey mousing score. dun naman sa kwento, parang Mulan lang. pro-war, military propaganda at billy aladin??? pero ayun napakita naman na macho pyudal ang militar which makes this pro lgbt but at the same hindi rin... ayun lang, trip ko talaga 'tong pelikulang ito kasi naka-film pa, galing lang!",,ltbx
onyxdagreat,,corny aah,80.0,ltbx
tjunkie,,mulan live action daw 😭,160.0,ltbx
miseryc0rdia,,this is my citizen kane,80.0,ltbx
ms_skye,,they don't make comedy movies like this anymore,140.0,ltbx
lvequinx,,classic camp movie !!! top 3 best vice ganda movie idc,,ltbx
ratebyfate,,Any praybeyt benjamin that came after this is a flop,140.0,ltbx
helliepad,,"defined the humor of a generation. iconic, filipino, queer, and a box-office hit. wonderful",160.0,ltbx
hanzanitizer,,"sobrang tawang tawa talaga ako nung naging mary poppins at angry birds sila para makapag-shortcut sa gubat, also gets na gets ko rin si benjie kasi ang sarap sarap sarap ni derek dito talaga",160.0,ltbx
phaguette,,literally just the Mulan plot lmao,160.0,ltbx
_noodlang,,jusko po hard watch hahaha lalo na yung mga homophobic jusko po!,80.0,ltbx
maelancholique,,karemember ko grade five mi mao ni gipasalida amoa maam sa hapon ahhahaha jejemon,120.0,ltbx
tophbaefong,,kabisado ko na mga linya nila rito eh,200.0,ltbx
0101011o,,young benjie marching with a barbie hidden on his back is so cunt iktr,160.0,ltbx
mykeebadgalcia,,the gay version of mulan,120.0,ltbx
gavocado,,"close enough. welcome back, mulan 🙏",160.0,ltbx
fraggak,,i laughed due to nostalgia,120.0,ltbx
niniocampo,,peak filipino cinema fucking camp as fuck,120.0,ltbx
micahkinofilo,,isang pelikula na pwede himayin kung gaano kahirap ang mundo ng pagmimilitar sa mga LGBTQIA+ community,160.0,ltbx
disposedscalpel,,i swear si abby bautista talaga ang backbone ng mga ganitong comedy hahahaha,160.0,ltbx
tortangdanisaur,,"praybeyt benjamin, the classic that you are !",140.0,ltbx
girlwitch,,WELCOME HOME POPSIIEE!!!!,160.0,ltbx
abbyalnxo,,peter jackstone edit,20.0,ltbx
ttlwpdl,,howard zieff can only wish he made this,100.0,ltbx
orapjuuu,,before deadpool we had praybeyt benjamin,100.0,ltbx
fakestcinephile,,the biggest plot twist my 7-year old self has ever seen,200.0,ltbx
viazru,,mulan’s filipino cousin,,ltbx
justraven,,still my most fave VG movie to date,,ltbx
