review_id,sentence_num,username,date,rating,source,sentence
135,3,everybobi,2025-07-09 00:00:00.000,100.0,ltbx,i think that's why near the beginning of the film benjamin reiterates that someday people will be proud of him
135,4,everybobi,2025-07-09 00:00:00.000,100.0,ltbx,and he suceeds this not by fitting in with the hypermasculine standard but the authentic him
135,5,everybobi,2025-07-09 00:00:00.000,100.0,ltbx,"this is not a stupid film, instead, it's well written"
135,6,everybobi,2025-07-09 00:00:00.000,100.0,ltbx,booing everyone that hates a film just because it's a comedy at the forefront
136,1,rshinzzz,2025-07-09 00:00:00.000,100.0,ltbx,hindi nga daw sha bading
137,1,ionxy,2025-07-08 00:00:00.000,100.0,ltbx,"if you like watching stuff that will literally make you laugh, you'll like this one"
137,2,ionxy,2025-07-08 00:00:00.000,100.0,ltbx,"also, very-filipino ang set up, sooo yeah"
139,2,patricksunga,2025-06-24 00:00:00.000,100.0,ltbx,wenn knew to end it all before the woke era
140,1,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,"I just watched an edit of VG saying that people say their movies were trash BUT then nung mga oras na down na down yung mga Pilipino, pinasaya tayo ng mga pelikula niya"
140,2,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,Not a fan of theirs I don’t really like mockery as a joke nor do I like hearing them blatantly call people stupid for “voting wrong” but I respect them for this
140,3,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,As somebody who’s been called a film snub & a snub IN General (not true)
140,4,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,i think that I’ve been having a shift on what constitutes a good filmFilipinos don’t have the same luxury I have of watching four films a day
140,5,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,With their 9 to 5s and responsibilities
140,6,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,"I would love to see more films & tv shows that will make people happy :)) , forget about their troubles, all while being relatable & uplifting"
140,7,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,The good thing about creating art is how u don’t really have to invent anymore
140,8,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,With everything that’s happening in the world
140,9,urfavealto,2025-07-06 00:00:00.000,100.0,ltbx,We do not have the luxury of creating art that is not a reflection of our society
141,1,rivervidal,2025-07-05 00:00:00.000,100.0,ltbx,sobrang deserve ni meme nung nanalo siya because of this movie
141,2,rivervidal,2025-07-05 00:00:00.000,100.0,ltbx,LOVE LOVE LOVEEEEE
142,1,earrings,2025-07-03 00:00:00.000,,ltbx,nakita ko kasama nila si colonel ehsinong colonel
142,2,earrings,2025-07-03 00:00:00.000,,ltbx,si hildasinong hilda
142,3,earrings,2025-07-03 00:00:00.000,,ltbx,si hilda colonelyahooo
143,1,unhoely,2025-07-04 00:00:00.000,20.0,ltbx,yassified mulan hangkulet
144,1,divinether,2016-11-28 00:00:00.000,60.0,ltbx,rotc core ka baks
145,1,louielacroix,2025-07-03 00:00:00.000,100.0,ltbx,mulan the filipino live-action: baklang version
147,1,opiancon,2025-07-02 00:00:00.000,40.0,ltbx,www 3 is coming
147,2,opiancon,2025-07-02 00:00:00.000,40.0,ltbx,i think i watched the wrong movie for war
148,1,ceoshn,2025-07-02 10:00:52.922,100.0,ltbx,watching this while drunk w friends is a life-changing experience
149,1,riyoatsuki,2025-06-30 00:00:00.000,100.0,ltbx,can-thought-ten mo ako derek ramsay
150,1,isonder,2025-06-29 06:21:23.808,100.0,ltbx,a classic
150,2,isonder,2025-06-29 06:21:23.808,100.0,ltbx,(word vomit ahead)i mean gets na some plot might be problematic in today's generation but still it's iconic
150,3,isonder,2025-06-29 06:21:23.808,100.0,ltbx,it shows how society views queer people— as a queer myself in a country where you're treated as plague it's hard to express yourself
150,4,isonder,2025-06-29 06:21:23.808,100.0,ltbx,"it might be normalized now in ph, but i still think it's not totally accepted, we're just tolerated"
